시설명,종류,주소,도로명,지번주소,위도,경도,법정동
서울대진초등학교,학교,서울특별시 강남구 개포로109길 74 (개포동),서울특별시 강남구 개포로109길 74 (개포동),서울특별시 강남구 개포동 13 대진초등학교,37.49668616,127.0780435,서울특별시 강남구 개포동
서울양전초등학교,학교,서울특별시 강남구 개포로 513 (개포동),서울특별시 강남구 개포로 513 (개포동),서울특별시 강남구 개포동 183 양전초등학교,37.49046042,127.0701634,서울특별시 강남구 개포동
한국외국인학교,학교,서울특별시 강남구 개포로 408 (개포동)한국외국인학교,서울특별시 강남구 개포로 408 (개포동),서울특별시 강남구 개포동 155 한국외국인학교,37.48581816,127.0634003,서울특별시 강남구 개포동
서울개원초등학교,학교,"서울특별시 강남구 선릉로 29(개포동, 개원초등학교)",서울특별시 강남구 선릉로 29 (개포동),서울특별시 강남구 개포동 660-10 개원초등학교,37.48136587,127.0590552,서울특별시 강남구 개포동
서울개일초등학교,학교,서울특별시 강남구 개포로 401 (개포동),서울특별시 강남구 개포로 401 (개포동),서울특별시 강남구 개포동 174 개일초등학교,37.48588691,127.0581233,서울특별시 강남구 개포동
서울포이초등학교,학교,서울특별시 강남구 개포로22길 87 (개포동)서울포이초등학교,서울특별시 강남구 개포로22길 87 (개포동),서울특별시 강남구 개포동 1273 포이초등학교,37.47564016,127.0523932,서울특별시 강남구 개포동
서울구룡초등학교,학교,서울특별시 강남구 개포로 263 (개포동)서울구룡초등학교,서울특별시 강남구 개포로 263 (개포동),서울특별시 강남구 개포동 655 구룡초등학교,37.48066691,127.0521401,서울특별시 강남구 개포동
서울학동초등학교,학교,서울특별시 강남구 선릉로115길 42 (논현동),서울특별시 강남구 선릉로115길 42 (논현동),서울특별시 강남구 논현동 264-7 학동초등학교,37.51208489,127.0398476,서울특별시 강남구 논현동
서울논현초등학교,학교,서울특별시 강남구 강남대로120길 33 (논현동),서울특별시 강남구 강남대로120길 33 (논현동),서울특별시 강남구 논현동 168 논현초등학교,37.50821768,127.0262781,서울특별시 강남구 논현동
서울대곡초등학교,학교,서울특별시 강남구 남부순환로 3022 (대치동),서울특별시 강남구 남부순환로 3022 (대치동),서울특별시 강남구 대치동 510 대곡초등학교,37.49441517,127.0651652,서울특별시 강남구 대치동
서울대치초등학교,학교,서울특별시 강남구 양재천로 363 (대치동),서울특별시 강남구 양재천로 363 (대치동),서울특별시 강남구 대치동 505 대치초등학교,37.49099995,127.0621532,서울특별시 강남구 대치동
서울도곡초등학교,학교,서울특별시 강남구 선릉로64길 33 (대치동),서울특별시 강남구 선릉로64길 33 (대치동),서울특별시 강남구 대치동 924-10 도곡초등학교,37.4990552,127.0546745,서울특별시 강남구 대치동
서울언주초등학교,학교,서울특별시 강남구 남부순환로363길 19 (도곡동),서울특별시 강남구 남부순환로363길 19 (도곡동),서울특별시 강남구 도곡동 922 언주초등학교,37.48664769,127.0371101,서울특별시 강남구 도곡동
서울봉은초등학교,학교,서울특별시 강남구 학동로 610 (삼성동),서울특별시 강남구 학동로 610 (삼성동),서울특별시 강남구 삼성동 79-2 봉은초등학교,37.52038283,127.0609698,서울특별시 강남구 삼성동
서울정애학교,학교,서울특별시 강남구 봉은사로81길 16 (삼성동),서울특별시 강남구 봉은사로81길 16 (삼성동),서울특별시 강남구 삼성동 74-13 서울정애학교,37.51444312,127.0543118,서울특별시 강남구 삼성동
서울삼릉초등학교,학교,서울특별시 강남구 봉은사로63길 22 (삼성동),서울특별시 강남구 봉은사로63길 22 (삼성동),서울특별시 강남구 삼성동 42 삼릉초등학교,37.51286266,127.0471265,서울특별시 강남구 삼성동
서울세명초등학교,학교,서울특별시 강남구 자곡로 55 (세곡동),서울특별시 강남구 자곡로 55 (세곡동),서울특별시 강남구 세곡동 529 세명초등학교,37.46857822,127.0909502,서울특별시 강남구 세곡동
서울수서초등학교,학교,"서울특별시 강남구 광평로51길 46(수서동, 수서초등학교)",서울특별시 강남구 광평로51길 46 (수서동),서울특별시 강남구 수서동 709 수서초등학교,37.49084954,127.1016513,서울특별시 강남구 수서동
서울왕북초등학교,학교,서울특별시 강남구 광평로31길 74 (수서동),서울특별시 강남구 광평로31길 74 (수서동),서울특별시 강남구 수서동 745 왕북초등학교,37.48619739,127.0864862,서울특별시 강남구 수서동
서울압구정초등학교,학교,서울특별시 강남구 압구정로39길 29 (압구정동),서울특별시 강남구 압구정로39길 29 (압구정동),서울특별시 강남구 압구정동 461 압구정초등학교,37.53140068,127.0308816,서울특별시 강남구 압구정동
서울역삼초등학교,학교,서울특별시 강남구 강남대로66길 21 (역삼동),서울특별시 강남구 강남대로66길 21 (역삼동),서울특별시 강남구 역삼동 833-7 역삼초등학교,37.49280682,127.0327799,서울특별시 강남구 역삼동
서울대청초등학교,학교,"서울특별시 강남구 양재대로55길 28(일원동, 대청초등학교)",서울특별시 강남구 양재대로55길 28 (일원동),서울특별시 강남구 일원동 712 대청초등학교,37.49283239,127.0879287,서울특별시 강남구 일원동
서울대모초등학교,학교,서울특별시 강남구 광평로20길 27 (일원동),서울특별시 강남구 광평로20길 27 (일원동),서울특별시 강남구 일원동 736 대모초등학교,37.48109404,127.0862115,서울특별시 강남구 일원동
서울영희초등학교,학교,서울특별시 강남구 일원로 21 (일원동),서울특별시 강남구 일원로 21 (일원동),서울특별시 강남구 일원동 617 영희초등학교,37.49191655,127.0813098,서울특별시 강남구 일원동
